# This file contains all data for the mysql table named Cronometer_Food_Mapping
#
#+----------------------+--------------+------+-----+---------+----------------+
#| Field                | Type         | Null | Key | Default | Extra          |
#+----------------------+--------------+------+-----+---------+----------------+
#| cronometer_food_id   | int unsigned | NO   | PRI | NULL    | auto_increment |
#| cronometer_food_name | varchar(100) | NO   |     | NULL    |                |
#| food_id              | int unsigned | NO   | MUL | NULL    |                |
#+----------------------+--------------+------+-----+---------+----------------+
#
# It is used to initialize the Cronometer food mapping data (567 cronometer foods mapped to 93 foods sourced from clark-food and poores-food)
# | used as delimiter as commas are common in cronometer food names
# food_id is the a foreign key to Food
# food_name is not an actual column, just for clarity
# format: cronometer_food_name|food_id|food_name
Snow Peas, Cooked from Frozen|702|Peas
Peas, Green, Raw|702|Peas
Nuts, Pecans|703|Pecan nuts
Nuts, pecans, dry roasted, without salt added|703|Pecan nuts
Nuts, pecans, oil roasted, without salt added|703|Pecan nuts
Pineapple, Raw|704|Pineapple
Pineapple, Home Canned|704|Pineapple
Pineapple, Canned in Water|704|Pineapple
Pineapple, Dried, Sweetened|704|Pineapple
Pineapple, Cooked, Sweetened|704|Pineapple
Pineapple, Dried, Unsweetened|704|Pineapple
Pineapple, Canned in Juice, Drained|704|Pineapple
Pineapple, frozen, unsweetened|704|Pineapple
Pineapple, Canned in Juice, Not Drained|704|Pineapple
Sausage, Pork, Fresh|705|Pork
Potato, Boiled with Skin|706|Potatoes
Potatoes, Baked, Flesh and Skin, Without Salt|706|Potatoes
Potato, Boiled without Skin|706|Potatoes
Potatoes, Pan Fried|706|Potatoes
Potatoes, Roasted with Oil|706|Potatoes
Potatoes, Pan Fried, Pima Indian|706|Potatoes
Mashed Potatoes, Prepared from Fresh|706|Potatoes
Potatoes, Flesh and Skin, Raw|706|Potatoes
Prawns, Cooked from Fresh|707|Prawns
Prawns, Cooked from Frozen|707|Prawns
Prawns, King, Raw|707|Prawns
Quest Protein Bar, Cookies & Cream|708|Protein bar
Protein One Bar, Chocolate Chip|708|Protein bar
Clif, Builder's 20g Protein Bar, Chocolate Mint|708|Protein bar
Protein One Bar, Chocolate Fudge|708|Protein bar
Quest Protein Bar, Chocolate Chip Cookie Dough|708|Protein bar
Protein One Bar, Peanut Butter Chocolate|708|Protein bar
High-Protein Bar|708|Protein bar
Premier Protein Shake, Chocolate|709|Protein shake
Premier Protein Shake, Vanilla|709|Protein shake
Pumpkin or Squash Seeds, Unshelled, Unsalted|710|Pumpkin seeds
Pumpkin or Squash Seeds, Shelled, Unsalted|710|Pumpkin seeds
Pumpkin or Squash Seeds, With Shell, Salted|710|Pumpkin seeds
Pumpkin or Squash Seeds, Shelled, Salted|710|Pumpkin seeds
Quinoa, Dry|711|Quinoa
Quinoa, Cooked|711|Quinoa
Quinoa, Cooked|711|Quinoa
Raspberries, Raw|712|Raspberries
Raspberries, Dried|712|Raspberries
Rice, White, Long-Grain, Regular, Enriched, Cooked|713|Rice
Rice, Brown, Long-Grain, Cooked|713|Rice
Jasmine Rice, Cooked in Salted Water|713|Rice
Rice Noodles, Cooked in Unsalted Water|714|Rice noodles
Rice Noodles, Fried|714|Rice noodles
Rice Noodles, Cooked in Salted Water|714|Rice noodles
Rice Noodles, Dry|714|Rice noodles
Rice Noodles, Cooked|714|Rice noodles
Soy Milk, Plain or Original, Unsweetened, Ready-to-Drink, Fortified|715|Soy milk
Soy Milk, Plain or Original, Unsweetened, Not Fortified, Ready-to-Drink|715|Soy milk
Soy Milk, Plain or Original, Sweetened with Sugar, Ready-to-Drink, Enriched|715|Soy milk
Soy Milk, Plain or Original, Unprepared Dry Powder|715|Soy milk
Soy Milk, Plain or Original, Reconstituted From Dry|715|Soy milk
